market,date,block,mcp_rs_mwh
DAM,2026-05-11,82,10000.0
DAM,2026-05-11,83,10000.0
DAM,2026-05-11,84,10000.0
DAM,2026-05-11,85,10000.0
DAM,2026-05-11,86,10000.0
DAM,2026-05-11,87,10000.0
DAM,2026-05-11,88,10000.0
DAM,2026-05-11,89,10000.0
DAM,2026-05-11,90,10000.0
DAM,2026-05-11,91,10000.0
DAM,2026-05-11,92,10000.0
DAM,2026-05-11,93,10000.0
DAM,2026-05-11,94,10000.0
DAM,2026-05-11,95,10000.0
DAM,2026-05-11,96,10000.0
DAM,2026-05-12,1,10000.0
DAM,2026-05-12,2,10000.0
DAM,2026-05-12,3,10000.0
DAM,2026-05-12,4,10000.0
DAM,2026-05-12,5,10000.0
DAM,2026-05-12,6,8999.2
DAM,2026-05-12,7,5886.52
DAM,2026-05-12,8,4819.41
DAM,2026-05-12,9,4769.79
DAM,2026-05-12,10,4629.38
DAM,2026-05-12,11,4629.31
DAM,2026-05-12,12,4382.23
DAM,2026-05-12,13,4023.15
DAM,2026-05-12,14,4012.44
DAM,2026-05-12,15,3863.61
DAM,2026-05-12,16,3849.91
DAM,2026-05-12,17,4023.15
DAM,2026-05-12,18,4013.24
DAM,2026-05-12,19,4036.67
DAM,2026-05-12,20,4061.62
DAM,2026-05-12,21,4199.73
DAM,2026-05-12,22,4083.42
DAM,2026-05-12,23,4021.97
DAM,2026-05-12,24,3892.54
DAM,2026-05-12,25,3892.11
DAM,2026-05-12,26,3579.97
DAM,2026-05-12,27,3480.19
DAM,2026-05-12,28,3302.65
DAM,2026-05-12,29,3210.81
DAM,2026-05-12,30,2849.91
DAM,2026-05-12,31,2021.48
DAM,2026-05-12,32,1929.17
DAM,2026-05-12,33,1618.38
DAM,2026-05-12,34,1590.55
DAM,2026-05-12,35,1432.15
DAM,2026-05-12,36,1510.9
DAM,2026-05-12,37,1510.49
DAM,2026-05-12,38,1537.24
DAM,2026-05-12,39,1537.74
DAM,2026-05-12,40,1563.51
DAM,2026-05-12,41,1537.56
DAM,2026-05-12,42,1537.97
DAM,2026-05-12,43,1537.42
DAM,2026-05-12,44,1537.27
DAM,2026-05-12,45,1378.86
DAM,2026-05-12,46,1367.88
DAM,2026-05-12,47,1328.69
DAM,2026-05-12,48,1334.06
DAM,2026-05-12,49,1269.4
DAM,2026-05-12,50,1210.73
DAM,2026-05-12,51,1269.31
DAM,2026-05-12,52,1269.07
DAM,2026-05-12,53,1210.82
DAM,2026-05-12,54,1246.19
DAM,2026-05-12,55,1334.53
DAM,2026-05-12,56,1378.69
DAM,2026-05-12,57,1537.87
DAM,2026-05-12,58,1623.89
DAM,2026-05-12,59,1969.68
DAM,2026-05-12,60,2051.31
DAM,2026-05-12,61,2501.69
DAM,2026-05-12,62,2539.71
DAM,2026-05-12,63,2734.12
DAM,2026-05-12,64,2849.9
DAM,2026-05-12,65,2821.21
DAM,2026-05-12,66,2849.6
DAM,2026-05-12,67,2956.61
DAM,2026-05-12,68,2947.63
DAM,2026-05-12,69,2907.21
DAM,2026-05-12,70,3075.51
DAM,2026-05-12,71,3279.47
DAM,2026-05-12,72,3544.37
DAM,2026-05-12,73,3589.87
DAM,2026-05-12,74,4000.3
DAM,2026-05-12,75,6431.94
DAM,2026-05-12,76,8999.57
DAM,2026-05-12,77,10000.0
DAM,2026-05-12,78,10000.0
DAM,2026-05-12,79,10000.0
DAM,2026-05-12,80,10000.0
DAM,2026-05-12,81,10000.0
DAM,2026-05-12,82,10000.0
DAM,2026-05-12,83,10000.0
DAM,2026-05-12,84,10000.0
DAM,2026-05-12,85,10000.0
DAM,2026-05-12,86,10000.0
DAM,2026-05-12,87,10000.0
DAM,2026-05-12,88,10000.0
DAM,2026-05-12,89,10000.0
DAM,2026-05-12,90,10000.0
DAM,2026-05-12,91,10000.0
DAM,2026-05-12,92,10000.0
DAM,2026-05-12,93,10000.0
DAM,2026-05-12,94,10000.0
DAM,2026-05-12,95,10000.0
DAM,2026-05-12,96,10000.0
DAM,2026-05-13,1,10000.0
DAM,2026-05-13,2,10000.0
DAM,2026-05-13,3,10000.0
DAM,2026-05-13,4,10000.0
DAM,2026-05-13,5,10000.0
DAM,2026-05-13,6,10000.0
DAM,2026-05-13,7,10000.0
DAM,2026-05-13,8,10000.0
DAM,2026-05-13,9,10000.0
DAM,2026-05-13,10,10000.0
DAM,2026-05-13,11,10000.0
DAM,2026-05-13,12,10000.0
DAM,2026-05-13,13,10000.0
DAM,2026-05-13,14,10000.0
DAM,2026-05-13,15,10000.0
DAM,2026-05-13,16,10000.0
DAM,2026-05-13,17,10000.0
DAM,2026-05-13,18,10000.0
DAM,2026-05-13,19,10000.0
DAM,2026-05-13,20,10000.0
DAM,2026-05-13,21,5249.37
DAM,2026-05-13,22,5249.81
DAM,2026-05-13,23,5774.45
DAM,2026-05-13,24,5499.7
DAM,2026-05-13,25,5350.69
DAM,2026-05-13,26,5131.83
DAM,2026-05-13,27,4800.19
DAM,2026-05-13,28,4299.09
DAM,2026-05-13,29,4001.05
DAM,2026-05-13,30,3849.82
DAM,2026-05-13,31,3541.67
DAM,2026-05-13,32,3000.3
DAM,2026-05-13,33,2500.07
DAM,2026-05-13,34,2021.97
DAM,2026-05-13,35,1969.91
DAM,2026-05-13,36,1800.47
DAM,2026-05-13,37,1700.61
DAM,2026-05-13,38,1623.5
DAM,2026-05-13,39,1623.37
DAM,2026-05-13,40,1623.17
DAM,2026-05-13,41,1550.41
DAM,2026-05-13,42,1537.92
DAM,2026-05-13,43,1537.17
DAM,2026-05-13,44,1432.98
DAM,2026-05-13,45,1501.28
DAM,2026-05-13,46,1537.16
DAM,2026-05-13,47,1537.2
DAM,2026-05-13,48,1501.85
DAM,2026-05-13,49,1432.08
DAM,2026-05-13,50,1367.46
DAM,2026-05-13,51,1340.68
DAM,2026-05-13,52,1367.06
DAM,2026-05-13,53,1134.11
DAM,2026-05-13,54,1048.93
DAM,2026-05-13,55,1328.26
DAM,2026-05-13,56,1367.94
DAM,2026-05-13,57,1563.94
DAM,2026-05-13,58,1809.79
DAM,2026-05-13,59,2141.31
DAM,2026-05-13,60,2380.26
DAM,2026-05-13,61,2895.46
DAM,2026-05-13,62,3001.08
DAM,2026-05-13,63,3098.19
DAM,2026-05-13,64,3099.42
DAM,2026-05-13,65,3136.65
DAM,2026-05-13,66,3199.66
DAM,2026-05-13,67,3439.07
DAM,2026-05-13,68,3556.9
DAM,2026-05-13,69,3608.1
DAM,2026-05-13,70,3650.74
DAM,2026-05-13,71,3652.8
DAM,2026-05-13,72,4005.93
DAM,2026-05-13,73,3339.54
DAM,2026-05-13,74,5001.62
DAM,2026-05-13,75,10000.0
DAM,2026-05-13,76,10000.0
DAM,2026-05-13,77,10000.0
DAM,2026-05-13,78,10000.0
DAM,2026-05-13,79,10000.0
